metric,t-stat,p-val,model_1,model_2,p-val-corrected,significance
train_r_corr,-1.1006826416745397,0.2764126734833373,Ridge Regression,SVM-rbf,1.0,ns
train_r_corr,-30.9894761501003,7.512841208587041e-34,Ridge Regression,Random Forest,1.5776966538032786e-32,****
train_r_corr,47.8704486279848,1.6134459800037935e-46,Ridge Regression,XGBoost,3.388236558007966e-45,****
train_r_corr,47.8704486279848,1.6134459800037935e-46,Ridge Regression,AutoGluon,3.388236558007966e-45,****
train_r_corr,-1.374176805313634,0.17564007158251083,SVM-linear,SVM-rbf,1.0,ns
train_r_corr,-30.657365113758335,1.2418503570368456e-33,SVM-linear,Random Forest,2.6078857497773757e-32,****
train_r_corr,47.57301190304162,2.2551838320289007e-46,SVM-linear,XGBoost,4.735886047260691e-45,****
train_r_corr,47.57301190304162,2.2551838320289007e-46,SVM-linear,AutoGluon,4.735886047260691e-45,****
train_r_corr,-22.17417249444782,3.36435990083247e-27,SVM-rbf,Random Forest,7.065155791748187e-26,****
train_r_corr,35.12994764488823,2.3221143364874684e-39,SVM-rbf,XGBoost,4.876440106623683e-38,****
train_r_corr,35.12994764488823,2.3221143364874684e-39,SVM-rbf,AutoGluon,4.876440106623683e-38,****
train_r_corr,65.00423118371974,1.0622561989218245e-53,Random Forest,XGBoost,2.2307380177358317e-52,****
train_r_corr,65.00423118371974,1.0622561989218245e-53,Random Forest,AutoGluon,2.2307380177358317e-52,****
train_r_corr,,,XGBoost,AutoGluon,,ns
test_spearmanr,0.12373182716418175,0.9020337740569264,Linear Regression,Ridge Regression,1.0,ns
test_spearmanr,0.6923111513217646,0.4920098974936389,Linear Regression,SVM-linear,1.0,ns
test_spearmanr,0.860279055281518,0.3938250214302421,Linear Regression,SVM-rbf,1.0,ns
test_spearmanr,0.8590541187637001,0.3944938394249633,Linear Regression,Random Forest,1.0,ns
test_spearmanr,0.37162201831437336,0.7116021579459524,Linear Regression,XGBoost,1.0,ns
test_spearmanr,0.29807956340492486,0.7667656089224288,Linear Regression,AutoGluon,1.0,ns
test_spearmanr,0.688735264425705,0.49423815364292834,Ridge Regression,SVM-linear,1.0,ns
test_spearmanr,0.8580683013625447,0.39503261195757033,Ridge Regression,SVM-rbf,1.0,ns
test_spearmanr,0.8579264012079171,0.39511020148888143,Ridge Regression,Random Forest,1.0,ns
test_spearmanr,0.3710019626172998,0.7120613051575095,Ridge Regression,XGBoost,1.0,ns
test_spearmanr,0.2974124695381312,0.7672720957151464,Ridge Regression,AutoGluon,1.0,ns
test_spearmanr,0.5822002477309492,0.5631011933646188,SVM-linear,SVM-rbf,1.0,ns
test_spearmanr,0.6774962414101482,0.5012776557516601,SVM-linear,Random Forest,1.0,ns
test_spearmanr,0.2891633918688859,0.7735435328781509,SVM-linear,XGBoost,1.0,ns
test_spearmanr,0.21083183828788954,0.833797689971448,SVM-linear,AutoGluon,1.0,ns
test_spearmanr,0.4684747131993635,0.6415225729065421,SVM-rbf,Random Forest,1.0,ns
test_spearmanr,0.17215271895385076,0.8639493682938247,SVM-rbf,XGBoost,1.0,ns
test_spearmanr,0.09367236165335421,0.9257098351404599,SVM-rbf,AutoGluon,1.0,ns
test_spearmanr,-0.12579177516032053,0.9003554546890318,Random Forest,XGBoost,1.0,ns
test_spearmanr,-0.23456610674622147,0.8154165737930852,Random Forest,AutoGluon,1.0,ns
test_spearmanr,-0.13838860128932198,0.8905004741478639,XGBoost,AutoGluon,1.0,ns
train_spearmanr,-0.5551067798468893,0.5813470518337518,Linear Regression,Ridge Regression,1.0,ns
train_spearmanr,3.347999307573207,0.0015709778226951107,Linear Regression,SVM-linear,0.03299053427659732,*
train_spearmanr,-0.8067320433705961,0.4237193429521511,Linear Regression,SVM-rbf,1.0,ns
train_spearmanr,-26.30693224729492,1.4701208225712998e-30,Linear Regression,Random Forest,3.0872537273997295e-29,****
train_spearmanr,43.253564524442574,3.703222677195738e-44,Linear Regression,XGBoost,7.77676762211105e-43,****
train_spearmanr,43.253564524442574,3.703222677195738e-44,Linear Regression,AutoGluon,7.77676762211105e-43,****
train_spearmanr,3.376880766050961,0.0014432335598647452,Ridge Regression,SVM-linear,0.03030790475715965,*
train_spearmanr,-0.8029941827044,0.425856065943514,Ridge Regression,SVM-rbf,1.0,ns
train_spearmanr,-26.283853133322324,1.5304485746956951e-30,Ridge Regression,Random Forest,3.21394200686096e-29,****
train_spearmanr,43.26969308791318,3.6301492030214185e-44,Ridge Regression,XGBoost,7.62331332634498e-43,****
train_spearmanr,43.26969308791318,3.6301492030214185e-44,Ridge Regression,AutoGluon,7.62331332634498e-43,****
train_spearmanr,-1.3003797354570485,0.19955402647661377,SVM-linear,SVM-rbf,1.0,ns
train_spearmanr,-25.874574967382113,3.138960601299164e-30,SVM-linear,Random Forest,6.591817262728245e-29,****
train_spearmanr,41.24756806432207,4.6723609808181885e-43,SVM-linear,XGBoost,9.811958059718196e-42,****
train_spearmanr,41.24756806432207,4.6723609808181885e-43,SVM-linear,AutoGluon,9.811958059718196e-42,****
train_spearmanr,-21.761247840774814,7.776123435315444e-27,SVM-rbf,Random Forest,1.6329859214162434e-25,****
train_spearmanr,34.75284414418108,4.0997595051199307e-39,SVM-rbf,XGBoost,8.609494960751855e-38,****
train_spearmanr,34.75284414418108,4.0997595051199307e-39,SVM-rbf,AutoGluon,8.609494960751855e-38,****
train_spearmanr,79.3569243073624,2.0443799691818434e-58,Random Forest,XGBoost,4.293197935281871e-57,****
train_spearmanr,79.3569243073624,2.0443799691818434e-58,Random Forest,AutoGluon,4.293197935281871e-57,****
train_spearmanr,,,XGBoost,AutoGluon,,ns
