metric,t-stat,p-val,model_1,model_2,p-val-corrected,significance
test_neg_root_mean_squared_error,-7.992422367614361,8.972678930283613e-11,Ridge Regression,AutoGluon,1.8842625753595587e-09,****
test_neg_root_mean_squared_error,-3.2939768091397617,0.0018392381624826747,SVM-linear,SVM-rbf,0.03862400141213617,*
test_neg_root_mean_squared_error,-3.0911767500656535,0.003284681366652559,SVM-linear,Random Forest,0.06897830869970374,ns
test_neg_root_mean_squared_error,-22.113876799136577,4.814631913015965e-29,SVM-linear,XGBoost,1.0110727017333526e-27,****
test_neg_root_mean_squared_error,-0.19892112147024923,0.8430579825270794,SVM-linear,AutoGluon,1.0,ns
test_neg_root_mean_squared_error,-1.576760299356199,0.12128565834147195,SVM-rbf,Random Forest,1.0,ns
test_neg_root_mean_squared_error,-22.089994490034314,5.079338105305878e-29,SVM-rbf,XGBoost,1.0666610021142344e-27,****
test_neg_root_mean_squared_error,0.1317423013947838,0.8956688813352356,SVM-rbf,AutoGluon,1.0,ns
test_neg_root_mean_squared_error,-21.95894837478831,6.818836210536878e-29,Random Forest,XGBoost,1.4319556042127444e-27,****
test_neg_root_mean_squared_error,0.386803310054993,0.700394400672659,Random Forest,AutoGluon,1.0,ns
test_neg_root_mean_squared_error,13.308871815992582,6.81628819862058e-18,XGBoost,AutoGluon,1.4314205217103218e-16,****
train_neg_root_mean_squared_error,23.05199513616648,5.909917402249155e-28,Linear Regression,Ridge Regression,1.2410826544723226e-26,****
train_neg_root_mean_squared_error,49.98321140024344,1.0457536258832624e-43,Linear Regression,SVM-linear,2.196082614354851e-42,****
train_neg_root_mean_squared_error,37.20741250387064,1.3827505729951932e-37,Linear Regression,SVM-rbf,2.9037762032899057e-36,****
train_neg_root_mean_squared_error,6.345459480659514,6.851829976339487e-08,Linear Regression,Random Forest,1.4388842950312921e-06,****
train_neg_root_mean_squared_error,-32.66403589282582,1.06200076867498e-37,Linear Regression,XGBoost,2.2302016142174582e-36,****
train_neg_root_mean_squared_error,-32.66403589282582,1.06200076867498e-37,Linear Regression,AutoGluon,2.2302016142174582e-36,****
train_neg_root_mean_squared_error,49.73019382314399,1.334684775862426e-43,Ridge Regression,SVM-linear,2.8028380293110945e-42,****
train_neg_root_mean_squared_error,36.77885930034149,2.39286228955523e-37,Ridge Regression,SVM-rbf,5.025010808065983e-36,****
train_neg_root_mean_squared_error,6.163025854199336,1.3117058310870064e-07,Ridge Regression,Random Forest,2.7545822452827135e-06,****
train_neg_root_mean_squared_error,-23.262892615697776,3.8679842001284465e-30,Ridge Regression,XGBoost,8.122766820269737e-29,****
train_neg_root_mean_squared_error,-23.262892615697776,3.8679842001284465e-30,Ridge Regression,AutoGluon,8.122766820269737e-29,****
train_neg_root_mean_squared_error,-31.6428332513845,2.8348305536797947e-34,SVM-linear,SVM-rbf,5.953144162727569e-33,****
train_neg_root_mean_squared_error,-3.5049846578161303,0.00098648445321826,SVM-linear,Random Forest,0.02071617351758346,*
train_neg_root_mean_squared_error,-55.42031292170469,6.021562576731811e-50,SVM-linear,XGBoost,1.2645281411136803e-48,****
train_neg_root_mean_squared_error,-55.42031292170469,6.021562576731811e-50,SVM-linear,AutoGluon,1.2645281411136803e-48,****
train_neg_root_mean_squared_error,-1.7972514321125157,0.07845979816616465,SVM-rbf,Random Forest,1.0,ns
train_neg_root_mean_squared_error,-40.8147699516515,8.197090916027813e-43,SVM-rbf,XGBoost,1.7213890923658406e-41,****
train_neg_root_mean_squared_error,-40.8147699516515,8.197090916027813e-43,SVM-rbf,AutoGluon,1.7213890923658406e-41,****
train_neg_root_mean_squared_error,-6.1287758182054874,9.95809044879944e-08,Random Forest,XGBoost,2.0911989942478824e-06,****
train_neg_root_mean_squared_error,-6.1287758182054874,9.95809044879944e-08,Random Forest,AutoGluon,2.0911989942478824e-06,****
train_neg_root_mean_squared_error,,,XGBoost,AutoGluon,,ns
test_r_corr,-2.1064605360210575,0.04030910852387024,Linear Regression,Ridge Regression,0.8464912790012751,ns
test_r_corr,-5.654564011818996,7.93419678896351e-07,Linear Regression,SVM-linear,1.666181325682337e-05,****
test_r_corr,-6.483731143762036,4.185417570792361e-08,Linear Regression,SVM-rbf,8.789376898663959e-07,****
test_r_corr,-5.560198561446844,1.1054550361027885e-06,Linear Regression,Random Forest,2.3214555758158557e-05,****
test_r_corr,-5.678212435586401,5.29383550931687e-07,Linear Regression,XGBoost,1.1117054569565428e-05,****
test_r_corr,-6.5243094585949954,2.2632510626370522e-08,Linear Regression,AutoGluon,4.75282723153781e-07,****
test_r_corr,-5.651148942037255,8.03012918268141e-07,Ridge Regression,SVM-linear,1.686327128363096e-05,****
test_r_corr,-6.443849994417132,4.825053289246296e-08,Ridge Regression,SVM-rbf,1.0132611907417221e-06,****
test_r_corr,-5.5334463347171905,1.2142295164434568e-06,Ridge Regression,Random Forest,2.5498819845312592e-05,****
test_r_corr,-5.631358841258009,6.289506746235215e-07,Ridge Regression,XGBoost,1.3207964167093952e-05,****
test_r_corr,-6.4767212167192945,2.7062933308844744e-08,Ridge Regression,AutoGluon,5.683215994857396e-07,****
test_r_corr,-2.605159123906765,0.012125977838390378,SVM-linear,SVM-rbf,0.25464553460619793,ns
test_r_corr,-2.5274289458060575,0.014766040207161426,SVM-linear,Random Forest,0.31008684435038997,ns
test_r_corr,-2.5139411863921155,0.014895593536607266,SVM-linear,XGBoost,0.3128074642687526,ns
test_r_corr,-3.3844880301627898,0.0013211912788627293,SVM-linear,AutoGluon,0.027745016856117317,*
test_r_corr,-1.3630935206628791,0.1790841939405824,SVM-rbf,Random Forest,1.0,ns
test_r_corr,-1.4780430307860322,0.1451004653061459,SVM-rbf,XGBoost,1.0,ns
test_r_corr,-2.2554186356234474,0.02810625762495807,SVM-rbf,AutoGluon,0.5902314101241195,ns
test_r_corr,-0.32575721578117994,0.7458442128091105,Random Forest,XGBoost,1.0,ns
test_r_corr,-1.0884585887768872,0.2811393296384244,Random Forest,AutoGluon,1.0,ns
test_r_corr,-1.6479667935277862,0.10575795703989174,XGBoost,AutoGluon,1.0,ns
train_r_corr,10.767594152542305,1.6326350916072942e-14,Linear Regression,Ridge Regression,3.4285336923753177e-13,****
train_r_corr,38.939775737184775,1.5972733238479728e-38,Linear Regression,SVM-linear,3.354273980080743e-37,****
train_r_corr,25.601628092550197,5.0959180112318734e-30,Linear Regression,SVM-rbf,1.0701427823586935e-28,****
