Feature Combination,Model,Target,Performance Test Set MAE Pitts,Performance Test Set RMSE Pitts,Performance Test Set R2 Pitts,Performance Test Set Pearson r Pitts,Performance Test Set Pearson r p-value Pitts,Performance Test Set Spearman r Pitts,Performance Test Set Spearman r p-value Pitts
Sleep_APOE,AutoGluon,Memory_Spatial,12.003340567169014,14.01840148626568,-0.0146338379425023,0.1080813501223288,0.5011822325074919,0.1654063765427724,0.3013678812350364
Sleep_APOE,XGBoost,Executive,4.295854289357255,4.850354984463675,-0.3929943988023541,0.0816620730070027,0.6117543104434525,0.1003925191002595,0.5322814670832456
Sleep_APOE,XGBoost,Memory_Letter,20.268089480516387,22.339629063957695,-4.700413147193696,0.0351687635673755,0.8272005899078513,0.0867298790013894,0.5897586511543313
Sleep_APOE,XGBoost,Memory_Spatial,12.0602456158185,14.098306503307818,-0.0262336478660507,0.0939682819407902,0.558965629348751,0.1225858962426158,0.4451384644350588
Sleep_APOE_Shuffle,AutoGluon,Executive,4.378173595521508,5.504989963233841,-0.7943839826209318,-0.0522869765657899,0.7454320573086186,0.0492941398081057,0.7595578621213037
Sleep_APOE_Shuffle,AutoGluon,Memory_Letter,19.117621165950123,21.29907763905808,-4.181744690008453,0.1562193961451117,0.3293800288278969,0.1363441153816754,0.3953199574377282
Sleep_APOE_Shuffle,AutoGluon,Memory_Spatial,12.144401280029864,14.098142693739572,-0.0262098001912804,0.2170888930984342,0.1727618702734202,0.245306066906654,0.1221342662644121
Sleep_APOE_Shuffle,XGBoost,Executive,4.763927692320289,5.446413469028427,-0.7564004394049868,0.1200359338322892,0.4547347708105131,0.1005863730185927,0.5314860077449847
Sleep_APOE_Shuffle,XGBoost,Memory_Letter,21.71282196044922,23.83269730126533,-5.487850171941283,-0.0066625908224346,0.967022859001244,0.009302008764356,0.9539707619905252
Sleep_APOE_Shuffle,XGBoost,Memory_Spatial,12.437794391840317,14.177700046976216,-0.0378245066392353,0.0470908013228672,0.7700071125149339,0.0282081957323015,0.861024993710981
Sleep_Cov,AutoGluon,Executive,3.872559942850253,5.347537869891839,-0.6932070128477588,-0.3229127758947349,0.0394716480060748,-0.2991978235852703,0.057388192649225
Sleep_Cov,AutoGluon,Executive_rgo_age,3.917870249133132,5.484312441523705,-0.7713034979824513,-0.0033699369308651,0.9833167718010188,0.027533328465235,0.8643185370261596
Sleep_Cov,AutoGluon,Memory_Letter,26.605317092523343,28.475410720493663,-8.26177895210675,-0.1432829382310056,0.3714773756441811,-0.0894648726251224,0.5780355743978693
